experiment_id,experiment_name,member_id,variant,algorithm_version,assigned_at,rollout_channel
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0051,control,recovery_v1,2026-04-23,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0052,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0053,control,recovery_v1,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0054,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0055,treatment,recovery_v2,2026-04-19,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0056,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0057,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0058,control,recovery_v1,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0059,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0060,treatment,recovery_v2,2026-04-18,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0061,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0062,control,recovery_v1,2026-04-21,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0063,control,recovery_v1,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0064,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0065,treatment,recovery_v2,2026-04-20,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0066,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0067,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0068,control,recovery_v1,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0069,treatment,recovery_v2,2026-04-19,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0071,control,recovery_v1,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0072,control,recovery_v1,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0073,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0074,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0075,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0076,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0077,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0079,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0080,treatment,recovery_v2,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0081,control,recovery_v1,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0082,treatment,recovery_v2,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0084,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0087,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0088,control,recovery_v1,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0089,control,recovery_v1,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0090,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0091,treatment,recovery_v2,2026-04-18,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0092,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0094,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0095,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0096,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0098,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0099,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0101,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0102,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0103,treatment,recovery_v2,2026-04-19,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0104,control,recovery_v1,2026-04-22,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0105,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0106,control,recovery_v1,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0107,treatment,recovery_v2,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0108,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0109,treatment,recovery_v2,2026-04-21,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0110,control,recovery_v1,2026-04-23,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0111,control,recovery_v1,2026-04-17,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0112,control,recovery_v1,2026-04-17,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0113,control,recovery_v1,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0115,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0116,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0117,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0118,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0119,control,recovery_v1,2026-04-18,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0120,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0122,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0123,treatment,recovery_v2,2026-04-20,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0124,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0125,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0126,treatment,recovery_v2,2026-04-20,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0127,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0128,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0129,control,recovery_v1,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0130,control,recovery_v1,2026-04-18,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0131,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0132,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0134,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0135,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0136,control,recovery_v1,2026-04-24,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0137,control,recovery_v1,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0138,treatment,recovery_v2,2026-04-21,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0139,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0140,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0141,treatment,recovery_v2,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0142,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0143,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0144,control,recovery_v1,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0145,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0146,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0147,treatment,recovery_v2,2026-04-18,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0148,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0149,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0150,control,recovery_v1,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0151,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0152,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0153,treatment,recovery_v2,2026-04-21,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0154,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0156,control,recovery_v1,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0157,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0158,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0159,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0160,control,recovery_v1,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0161,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0162,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0163,control,recovery_v1,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0164,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0165,control,recovery_v1,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0166,treatment,recovery_v2,2026-04-20,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0167,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0168,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0169,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0170,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0171,control,recovery_v1,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0172,control,recovery_v1,2026-04-21,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0174,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0175,treatment,recovery_v2,2026-04-18,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0176,control,recovery_v1,2026-04-21,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0177,treatment,recovery_v2,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0179,treatment,recovery_v2,2026-04-23,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0180,treatment,recovery_v2,2026-04-21,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0181,control,recovery_v1,2026-04-23,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0184,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0186,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0188,treatment,recovery_v2,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0189,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0190,control,recovery_v1,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0193,treatment,recovery_v2,2026-04-20,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0195,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0196,control,recovery_v1,2026-04-21,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0197,control,recovery_v1,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0198,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0199,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0200,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0201,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0202,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0203,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0204,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0205,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0206,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0207,control,recovery_v1,2026-04-17,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0208,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0210,control,recovery_v1,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0211,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0212,control,recovery_v1,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0214,treatment,recovery_v2,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0215,control,recovery_v1,2026-04-20,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0217,treatment,recovery_v2,2026-04-18,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0219,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0220,treatment,recovery_v2,2026-04-24,feature_flag
